City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Shiringushi,RU,2022-07-22 20:16:30,53.8485,42.7676,58.75,97,82,6.85
67,Valdivia,CL,2022-07-22 20:12:13,-39.8142,-73.2459,53.69,97,100,10.25
68,East London,ZA,2022-07-22 20:14:00,-33.0153,27.9116,68.31,39,16,6.42
69,Huarmey,PE,2022-07-22 20:16:31,-10.0681,-78.1522,66.97,72,21,9.57
70,New Glasgow,CA,2022-07-22 20:14:39,45.5834,-62.6486,76.78,57,16,9.71
71,Zhezkazgan,KZ,2022-07-22 20:16:31,47.8043,67.7144,73.96,29,3,9.75
72,Iracoubo,GF,2022-07-22 20:16:31,5.4802,-53.2011,81.75,74,26,7.25
73,Carndonagh,IE,2022-07-22 20:16:31,55.25,-7.2667,62.22,90,92,4.05
74,Qaanaaq,GL,2022-07-22 20:16:32,77.484,-69.3632,41.34,86,99,9.04
75,Oum Hadjer,TD,2022-07-22 20:16:32,13.2954,19.6966,77.97,63,100,9.24
76,Pasni,PK,2022-07-22 20:16:33,25.2631,63.471,82.72,86,100,9.08
77,Bredasdorp,ZA,2022-07-22 20:15:39,-34.5322,20.0403,56.46,66,100,9.55
78,Nanortalik,GL,2022-07-22 20:16:33,60.1432,-45.2371,49.37,78,19,3.15
79,Yangambi,CD,2022-07-22 20:16:33,0.8102,24.4336,70.92,91,100,3.22
80,Eyl,SO,2022-07-22 20:16:34,7.9803,49.8164,78.03,76,100,24.27
81,Taoudenni,ML,2022-07-22 20:16:34,22.6783,-3.9836,104.79,14,48,4.76
82,Cayenne,GF,2022-07-22 20:16:34,4.9333,-52.3333,85.08,9,0,3.44
83,Kamenka,RU,2022-07-22 20:16:34,51.3223,42.7678,57.97,91,92,6.26
84,Warangal,IN,2022-07-22 20:16:35,18.0,79.5833,74.5,94,100,11.72
85,Panorama,GR,2022-07-22 20:16:35,40.5878,23.0315,82.11,51,20,4.61
86,Saint-Pierre,RE,2022-07-22 20:16:35,-21.3393,55.4781,67.91,72,75,4.61
87,Ouadda,CF,2022-07-22 20:16:35,8.0777,22.4007,68.16,99,99,4.38
88,Ustka,PL,2022-07-22 20:16:36,54.5805,16.8619,64.65,84,1,7.4
89,Kuusamo,FI,2022-07-22 20:16:36,65.9667,29.1833,62.64,72,0,8.05
90,Saint-Augustin,CA,2022-07-22 20:16:17,51.226,-58.6502,63.07,73,99,15.55
91,Laguna,US,2022-07-22 20:16:36,38.421,-121.4238,99.32,28,0,8.05
92,Birin,NP,2022-07-22 20:16:37,26.8865,88.0718,64.74,89,100,4.63
93,Chuy,UY,2022-07-22 20:13:48,-33.6971,-53.4616,57.74,92,80,4.43
94,Lokosovo,RU,2022-07-22 20:16:37,61.1333,74.8167,48.38,74,10,5.84
95,Darovskoy,RU,2022-07-22 20:16:37,58.77,47.9564,59.94,78,70,2.28
96,Hare Bay,CA,2022-07-22 20:16:38,48.8499,-54.0148,87.19,43,72,6.58
97,Bracciano,IT,2022-07-22 20:16:38,42.1031,12.1754,83.35,45,0,2.44
98,Busselton,AU,2022-07-22 20:16:38,-33.65,115.3333,58.84,82,40,19.13
99,Bonito,BR,2022-07-22 20:12:07,-21.1211,-56.4819,90.32,22,5,7.56
100,Kaka,TM,2022-07-22 20:16:39,37.3482,59.6143,93.63,20,0,11.61
101,Cidreira,BR,2022-07-22 20:16:39,-30.1811,-50.2056,64.51,91,95,3.31
102,Skoghall,SE,2022-07-22 20:16:39,59.3232,13.4655,55.96,92,100,9.22
103,Kudahuvadhoo,MV,2022-07-22 20:16:40,2.6708,72.8944,82.76,74,99,15.01
104,Aswan,EG,2022-07-22 20:16:40,24.0934,32.907,91.67,14,31,13.04
105,Sao Filipe,CV,2022-07-22 20:16:40,14.8961,-24.4956,75.96,78,84,4.16
106,Lebu,CL,2022-07-22 20:16:40,-37.6167,-73.65,53.78,95,100,12.21
